query,original_question,category,subclass,question_1,question_2,winner
[AO|WHAT] How do you brew beer?,How do you brew beer?,AO,WHAT,} You are a beer shop and asked me how to brew beer.,} Is this a process you can do with friends or with the whole team?,Question 1
[AO|WHOM] Give me a list of 3 of the best movies quotes I've never used,Give me a list of 3 of the best movies quotes I've never used,AO,WHOM,Please specify which type of quotes you would like to receive.,"Thus, the correct question would be: Are you looking for movie quotes from movies you've never seen or quotes that haven't been used in your own work?",Question 2
"[AO|WHAT] Tell me whether these foods need to be refrigerated or be frozen: milk, meat, sea food, fruit","Tell me whether these foods need to be refrigerated or be frozen: milk, meat, sea food, fruit",AO,WHAT,WHAT does meat need: need to be refrigerated or need to be frozen: two alternatives.,NONE,Question 1
[AO|WHAT] My air conditioner quit working how do I fix it?,My air conditioner quit working how do I fix it?,AO,WHAT,"Can you ask me anything? No, I am a clarification service. Can you ask if you would clarify? I need additional information.",WHAT is is that model number?,Question 2
[AO|WHOM] Name a few popular metal genres,Name a few popular metal genres,AO,WHOM,WHAT ARE THE NAME OF SOME METALS,WHAT are a few popular metal genres,Question 2
[AO|WHAT] How does a human do arithmetic calculation as fast as a calculator?,How does a human do arithmetic calculation as fast as a calculator?,AO,WHAT,`WHAT' WHOM WHEN,"/Final Idea When do you mean by ""as fast as a calculator?""",Question 2
[AO|WHOM] How difficult is it to learn how to water ski?,How difficult is it to learn how to water ski?,AO,WHOM,"But in the given query, where is ""whom"" present?","In case you have multiple difficulty options? Or would asking which option specifically (in this case, how), whether it's easy or hard to learn this task?",Question 2
[AO|WHOM] Give me ideas how I could become more productive.,Give me ideas how I could become more productive.,AO,WHOM,"I'm sorry, I need more information to give a clear answer based on the query.",I'm unfamiliar unfamiliar entities. Can I do that?,Question 1
[AO|WHOM] Provide a list of some Japanese art forms I've not heard of.,Provide a list of some Japanese art forms I've not heard of.,AO,WHOM,"For example, which entity (like an individual, organization, etc.) do the art forms belong to?","For example, if the user's sentence was ""whom would you provide a list of some Japanese art forms I've not heard of?"" then the assistant would ask for clarification by replacing ""whom"" with ""who"".",Question 2
[AO|WHEN] Give me a bulleted list of cricketers by highest number of international centuries scored,Give me a bulleted list of cricketers by highest number of international centuries scored,AO,WHEN,WHOM WHEN,"So the clarifying question would be: Are you wanting the list ordered by the date when the centuries were scored, or by the number of centuries?",Question 2
[AO|WHOM] Provide a 10-step flow for a heterosexual couple's non-religious wedding ceremony.,Provide a 10-step flow for a heterosexual couple's non-religious wedding ceremony.,AO,WHOM,"Alternatively, is the user asking about a specific couple or a general category?",WHAT IS THE LAY-OUT?,Question 1
[AO|WHERE] Give me some suggestions for good South East Asian restaurants near downtown Seattle,Give me some suggestions for good South East Asian restaurants near downtown Seattle,AO,WHERE,Who are the most popular restaurants in downtown Seattle?,PLEASE PROVIDE THE CITY NAME?,Question 2
[AO|WHOM] Give me a list of the best movies I've never seen.,Give me a list of the best movies I've never seen.,AO,WHOM,WHAT IS THE AMOUNT OF PEOPLE I COULD HAVE WATCHED?,"PLEASE PROVIDE THE AMOUNT OF UNDOCUMENTED, UNAMBITION PEOPLE.",Question 1
"[AO|WHAT] Name three dishes that were developed from conditions of scarcity or having to ""make do鈥?with available materials or ingredients.","Name three dishes that were developed from conditions of scarcity or having to ""make do鈥?with available materials or ingredients.",AO,WHAT,"So, generate a question like: ""Which unfamiliar entities or facts are you referring to in your question?"" Thus, the final clarifying question could be: ""Could you specify the unfamiliar entities or facts related to this query?"" Final Answer: What specific unfamiliar entities or facts are you referring to in your question about the dishes developed under conditions of scarcity?","Can you specify which types of dishes or contexts you are referring to when mentioning ""made do with available materials or ingredients""?",Question 2
[AO|WHOM] How should I pick a name for my baby?,How should I pick a name for my baby?,AO,WHOM,bx-001 When is the baby born? Who is the baby named for?,"Looking at the examples, for instance, if the user says ""Who is [EM|UNC]) wanting a story with zombies?"", the classifier picks CLARIFY",Question 1
[AO|WHOM] list 7 favourite flavours,list 7 favourite flavours,AO,WHOM,,,Question 2
[AO|WHOM] Come up with short road trips from Berkeley that I can drive to within two hours.,Come up with short road trips from Berkeley that I can drive to within two hours.,AO,WHOM,WHAT IS SHORT ROAD TRIP FROM BERK sharesHoping to do this.,WHAT's your travel plan for short road trips in Berkeley within two hours?,Question 2
[AO|WHOM] Give me some ideas for Halloween costumes.,Give me some ideas for Halloween costumes.,AO,WHOM,WHAT IS THE TOP costume for Halloween in New York right now?,"The user wants clarification for the word ""whom"" in the sentence. I'll ask who in the given context.\ Who?",Question 2
[AO|WHOM] Give me a list of certain insurances that I should take when moving to Germany.,Give me a list of certain insurances that I should take when moving to Germany.,AO,WHOM,What insurances are you referring to?,Where are you?,Question 1
"[AO|WHAT] Classify the series according to the OTT platform they are on.
The Witcher, Jack Ryan, The Rings of Power, Sweet Tooth","Classify the series according to the OTT platform they are on.
The Witcher, Jack Ryan, The Rings of Power, Sweet Tooth",AO,WHAT,WHAT_ANGER WHO_Jackson_Clara_OWentor_,WHAT,Question 2
[AO|WHOM] Write a paragraph of a blog post describing the appeal of a weekend stay at Blue Ridge Parkway?,Write a paragraph of a blog post describing the appeal of a weekend stay at Blue Ridge Parkway?,AO,WHOM,Is the appeal of a weekend stay at Blue Ridge Parkway including or excluding the two given dates?,,Question 2
[AO|WHOM] Name some of the best tourist spots in USA?,Name some of the best tourist spots in USA?,AO,WHOM,WHO DO YOU MEANT?,WHAT are the best tourist spots in USA?,Question 2
[AO|WHEN] Give me a bulleted list of the top five most followed Instagram profiles.,Give me a bulleted list of the top five most followed Instagram profiles.,AO,WHEN,WHAT IS THE first word of the name of the top five most followed Instagram profiles?,##,Question 1
[AO|WHEN] Name some famous 1990 music,Name some famous 1990 music,AO,WHEN,WHAM! The Beatles The Who,## Please execute this operation as early as possible.,Question 1
[AO|WHOM] What are some of the best business podcast to listen to?,What are some of the best business podcast to listen to?,AO,WHOM,REFERRED CLARIFYING WITH WHOM IS THE BEST BUSINESS PODCAST TO LISTEN?,,Question 2
[AO|WHOM] Give me five books that I should read today.,Give me five books that I should read today.,AO,WHOM,WHAT ARE THE FIVE BOOKS?,WHAT IS WRONG WITH WHOM,Question 1
[AO|WHOM] Give me a bulleted list of the best chain coffee shops in the United States,Give me a bulleted list of the best chain coffee shops in the United States,AO,WHOM,"- Could you please specify the context or criteria for identifying the top chain coffee shops, such as global presence, customer satisfaction, or local popularity?","So the assistant might phrase: ""Are you referring to a specific group or should the list include any people related to the coffee shops?"" Therefore, the correct clarifying question based on the classification is to ask whether the list should include a specific group's information or a general list.",Question 1
[AO|WHAT] How to have an evergreen garden?,How to have an evergreen garden?,AO,WHAT,"WHAT) Do you mean ""evergreen"" or ""evergreen"" in the context of ""evergreened""?",`When do you want to hire a lawn?,Question 1
[AO|WHOM] Please tell me a little bit about the personal lives of the best hockey players at this time.,Please tell me a little bit about the personal lives of the best hockey players at this time.,AO,WHOM,"The assistant can ask either: ""are you asking about a specific time period or is this in general?"" So the main next step: Determine the two possibilities for the ambiguous term: either the time period or the category of ""best."" The main ambiguity is either: time period or whether the term ""best"" is specific or not.","- Please clarify which specific time or context you are referring to when asking about the personal lives of the ""best hockey players.""",Question 2
[AO|WHOM] How hard is it to learn how to ski?,How hard is it to learn how to ski?,AO,WHOM,"I'm confused, is this the person or the program to learn ski?",START,Question 1
[AO|WHOM] Give me a list of luxury watches to buy,Give me a list of luxury watches to buy,AO,WHOM,What do you mean sell luxury watches?,,Question 2
"[AO|WHEN] Classify the below companies based on their market capitalization.
Reliance, Adani Enterprise, Tanla, Globus Spirits, Apollo Hospitals, NELCO, Zee Entertainment Enterprises Ltd","Classify the below companies based on their market capitalization.
Reliance, Adani Enterprise, Tanla, Globus Spirits, Apollo Hospitals, NELCO, Zee Entertainment Enterprises Ltd",AO,WHEN,"WHAT company is referred to as ""Tanla""?",WHO ARE THEM?,Question 1
[AO|WHOM] List some American candy bars that have chocolate and caramel.,List some American candy bars that have chocolate and caramel.,AO,WHOM,多少,,Question 2
[AO|WHOM] Give me some tips for increase my savings,Give me some tips for increase my savings,AO,WHOM,WHO OR WHEN?,WHO,Question 2
[AO|WHAT] How do airplanes fly?,How do airplanes fly?,AO,WHAT,EM|how do airplanes fly?,-Which type of airplane are you asking about?,Question 2
[AO|WHAT] Please provide a list of best movies from Shahrukh Khan.,Please provide a list of best movies from Shahrukh Khan.,AO,WHAT,WHAT does this mean?,I am a clarifying question,Question 1
[AO|WHEN] Write a journal entry from the pandemic.,Write a journal entry from the pandemic.,AO,WHEN,So the clarifying question could be: Do you want the journal entry to be set during the initial lockdown periods or during the second lockdown wave?,WHAT DATE?,Question 1
[AO|WHERE] Imagine you're planning a ski trip with your friends. What are some good areas to go skiing?,Imagine you're planning a ski trip with your friends. What are some good areas to go skiing?,AO,WHERE,WHAT are some good areas to go skiing?,"WHAT ARE YOURS? WHEN ARE YOU? Note: The scenario with ""EM|CONT|..."" includes unfamiliar info but not contradictory info.",Question 1
[AO|WHAT] How to find the area of a rectangle?,How to find the area of a rectangle?,AO,WHAT,"} What do you mean by ""area""? Is there a difference between using an area measure and something else in this context?",INQUIRE: Which sides length are we calculating for the area of the rectangle?,Question 2
[AO|WHOM] Provide legal ways to pay less taxes in the USA.,Provide legal ways to pay less taxes in the USA.,AO,WHOM,WHAT ARE PEOPLE WHO LIVE OUTSIDE AND DON'T PAY TAX?,None,Question 2
[AO|WHOM] Give me a list of the most agreed upon supplements that are effective for maintaining general health,Give me a list of the most agreed upon supplements that are effective for maintaining general health,AO,WHOM,,Is the list for humans or for animals or both?,Question 2
[AO|WHAT] Write a concise and somewhat funny email about making a betting pool for the 2023 Masters golf tournament,Write a concise and somewhat funny email about making a betting pool for the 2023 Masters golf tournament,AO,WHAT,What specific details about this email would you like me to clarify?,Are there unfamiliar entities mentioned: What does the email express about the user or their friends?,Question 1
[AO|WHOM] Give me some ideas for my son's birthday party.,Give me some ideas for my son's birthday party.,AO,WHOM,WHAT IS THE BEST WAYS OF YOUR SKILLS?,When is his birthday?,Question 2
[AO|WHOM] how do you decide which job to take?,how do you decide which job to take?,AO,WHOM,"But in the output, the question is required in the format, so the best choice would be to ask ""WHOM?"".",|WHOM| Who's name?,Question 2
[AO|WHERE] Give me a bulleted list of the fastest way to get from to cross the English Channel in a nonconventional way?,Give me a bulleted list of the fastest way to get from to cross the English Channel in a nonconventional way?,AO,WHERE,WHAT ARE THE CHEFS WHEN ASKING THIS?,WHEN is the fastest way to get from one side to the other after the start when there are a few options?,Question 2
[AO|WHAT] Give me a list of 10 nematode species,Give me a list of 10 nematode species,AO,WHAT,"thinking Okay, I need to generate a clarifying question based on the ambiguity type. Let me first understand the input. The user provided a query with the label [AO] WHAT, and asked for a list of 10 nematode species. Wait, but the system's job is to parse the ambiguity type. The user is in AO (Aleatoric Output) category, likely because the output contains confusion due to missing context. But in this case, the user is asking for a list of nematode species, which is a clear request. But maybe the confusion is due to something else. Wait, maybe the problem is that the user said ""nematode species,"" but maybe was referring to something else, causing ambiguity. Or perhaps there is ambiguity in the term itself. Wait, the categories mention AO as missing context leading to confusion. So maybe the user is asking for a list of 10 nematode species, but perhaps they are referring to something else? Wait, no, the user's query is clear. Wait, perhaps the ambiguity arises from the fact that ""nematode species"" is too broad and needs clarification. Wait, but the user says ""give me a list of 10 nematode species,"" so maybe the user is asking for any 10 nematode species, but the user might not have a specific list in mind and needs the assistant to ask which one. Wait, but in the input, the user has said: you need to generate a clarifying question. So the user is in AO and asks for clarification. Wait no. The user has asked: ""Give me a list of 15 nematode species for a research project."" Wait, in this case, the user is asking for a list of 10 nematode species but with categories. Wait, but the user is in AO and says ""List me 15 nematode species for a research project."" Wait, no. The scenario is that the user has asked for something with confusion due to missing context. But in the provided case, the user says ""Give me a list of 10 nematode species."" So where is the ambiguity? Perhaps the user did not specify any other details, such as what kind of nematode they are referring to. Because there are a large number of nematode species, not knowing the specific taxonomic group or the user's interest leads to ambiguity. Therefore the clarifying question would be to ask: What category of nematodes are you interested in (e.g., soil-dwelling, plant-parasitic, free-living)? Alternatively, ask if their research requires a list of nematode species from a specific habitat or function, such as symbionts. The input has ambiguity from whN: AL due to missing details about the type of nematode species. The user said ""nemate, but asked for a list of species, but the query is ambiguous due to (EM?) Wait, which category? Wait, but the question contains ambiguous scenario. Wait no. The question contains ambiguous scenario due to missing details about the type of nematodes (WHAT is required). The user said what? The user said ""Give me a list of nematode species."" The user is asking for what a clarifying question. The user said: ""Give me a list of nematode species."" Are you asking for any nematode species? The user said what? Wait, no. The user said ""Give me a list of nematode species,"" but no specific details. Therefore, the clarifying question is: What kind of nematodes are you interested in (e.g., soil, plant, free-living)? So the output is a clarifying question. So the output is: What organisms are you interested in (e.g., soil-dwelling nematodes)?",OUTPUTWHAT,Question 1
[AO|WHAT] Tell me few brainstorming techniques,Tell me few brainstorming techniques,AO,WHAT,WHOM,WHAT IS THE ANCESTOR OF DOG,Question 1
[AO|WHAT] How to write a college essay?,How to write a college essay?,AO,WHAT,WHAT do you need to write a college essay?,"}/bot| I need to ask the user whether the subject should be an example story, a case study, or a narrative.",Question 1
[AO|WHOM] Name some famous actors in the 1940's,Name some famous actors in the 1940's,AO,WHOM,WHOM: Which actors?,WHOM?,Question 1
[AO|WHOM] Give me a list of 5 first date ideas,Give me a list of 5 first date ideas,AO,WHOM,EMPTY,None,Question 2
[AO|WHOM] How should I pick a name for my baby?,How should I pick a name for my baby?,AO,WHOM,-,"Therefore, the clarifying question should be: Do you mean a person's name or a thing's name?",Question 2
[AO|WHEN] Name some of the top soccer players,Name some of the top soccer players,AO,WHEN,['WHAT|WHEN'] What type of soccer players are you referring to?,EM,Question 1
[AO|WHOM] How do I get better at bouldering?,How do I get better at bouldering?,AO,WHOM,ooter When do you start climbing at the gym?,,Question 2
[AO|WHOM] Give me a list of different cat species that are good for people with allergies.,Give me a list of different cat species that are good for people with allergies.,AO,WHOM,WHAT CAT SPECIES IS BEST SUIT FOR PEOPLE WHO HAS ALERGIES,WHAT IS A cat species that is good for people with allergies?,Question 1
[AO|WHOM] How do I decline an invitation to my Aunt's Birthday party?,How do I decline an invitation to my Aunt's Birthday party?,AO,WHOM,"Is it one aunt, multiple, or a specific named one?",Which one is correct?,Question 1
[AO|WHAT] Write a bullet point list of at least 7 crops that are grown in California,Write a bullet point list of at least 7 crops that are grown in California,AO,WHAT,vegetables or grains?,"Which type of crops: major, minor, or different categories, are you looking for in the list?",Question 2
"[AO|WHOM] Help me select what to wear for a beach party with my friends and what clothes to bring in my backpack so I can change for dinner. The weather will be hot during the day and cool at night. 

Here are my options: A winter coat, a bathing suit, sandals, a short sleeve button down shirt, a hat, sunglasses, underwear, socks, sneakers, a rain coat, a tuxedo, sweatpants, jeans, a tank top, a pair of khakis","Help me select what to wear for a beach party with my friends and what clothes to bring in my backpack so I can change for dinner. The weather will be hot during the day and cool at night. 

Here are my options: A winter coat, a bathing suit, sandals, a short sleeve button down shirt, a hat, sunglasses, underwear, socks, sneakers, a rain coat, a tuxedo, sweatpants, jeans, a tank top, a pair of khakis",AO,WHOM,## Please write the clarifying question with one clarifying question At which event should I wear which clothing option?,,Question 1
[AO|WHOM] Give me a list of pizza restaurants in San Francisco,Give me a list of pizza restaurants in San Francisco,AO,WHOM,"My clarifying question is ""Who are in the list? Please provide the specific type (if any) of pizza restaurants?","INSTRUCTIONS: Use the list of subclasses as context. Based on the information provided in the interaction, label one clarifying question using either the subclasses. Finally, provide the label for the specific scenario.",Question 2
[AO|WHOM] write a short poem about gratitude to my sister friends who lead Obon dancing with me every year,write a short poem about gratitude to my sister friends who lead Obon dancing with me every year,AO,WHOM,None: Which sister friends?,WHAT MOTHER should you go to?,Question 1
[AO|WHAT] Think up ways to clean a keyboard.,Think up ways to clean a keyboard.,AO,WHAT,WHAT DO YOU MEAN WHen?,WHAT IS THE BEST WAY TO CLEAN A KEYBOARD?,Question 2
[AO|WHOM] Think up of a bunch of different dishes you could make with a pound of potatoes,Think up of a bunch of different dishes you could make with a pound of potatoes,AO,WHOM,UNCHILARIFY: Which many people do you cook meals for?,I'll get it.,Question 1
[AO|WHOM] Name some famous anime shows?,Name some famous anime shows?,AO,WHOM,,,Question 2
[AO|WHOM] Give me a list of things to buy a 12 year old boy,Give me a list of things to buy a 12 year old boy,AO,WHOM,"Thus, the possible clarifying question could be either ""Who is this list intended for?""",/question,Question 1
[AO|WHERE] Give me a suggestion where I should go for spring break if I live in the United States.,Give me a suggestion where I should go for spring break if I live in the United States.,AO,WHERE,WHAT DOES ONE DO WHEN ONE IS ON FIRE,WHAT=,Question 2
[AO|WHOM] Name some famous jazz songs?,Name some famous jazz songs?,AO,WHOM,,WHAT=FAMOUS JAZZ SINGLES?,Question 2
[AO|WHOM] How can I decide what bike I should get?,How can I decide what bike I should get?,AO,WHOM,|em|whom|WHOM|WHOW|OW Which bike?,b/1/b Who should I give the bike to?,Question 1
[AO|WHOM] Give me a list of the best movies I've never seen.,Give me a list of the best movies I've never seen.,AO,WHOM,I'm not sure which personal preferences you're referring to. Is there something in particular you want to include or know before I can provide a meaningful answer?,When is the end of the list?,Question 1
[AO|WHOM] Think up of different foods that are good for when you are sick,Think up of different foods that are good for when you are sick,AO,WHOM,WHAT is good for you when you have a head cold but you do not want to get up?,## What is EM and CONT in an ambiguous sentence? - What's up with EM and CONT in an ambiguous sentence?,Question 1
[AO|WHERE] Give me different ways I can travel from one place to another,Give me different ways I can travel from one place to another,AO,WHERE,UNDERSTANDING: WHO ARE THE PEOPLE IN THE FAMILIES OF MIAMI?,"Therefore, the model would generate: ""Are you referring to unfamiliar places or multiple interpretations?"" Or the first possible.",Question 2
"[AO|WHAT] Write an opening passage to a story that is based on a world where cloning is rampant, in the style of dark humor.","Write an opening passage to a story that is based on a world where cloning is rampant, in the style of dark humor.",AO,WHAT,WHAT genre should the story be written in?,"[""WHOH] This clone is [?]",Question 1
[AO|WHEN] Write a short message to send to your doctor to ask if you need to make a separate appointment for each of your vaccines for an upcoming vacation to South Africa. The doctor is named Dr. Gupta,Write a short message to send to your doctor to ask if you need to make a separate appointment for each of your vaccines for an upcoming vacation to South Africa. The doctor is named Dr. Gupta,AO,WHEN,/assistant Do you mean each individual batch of vaccine or the total quantity required for the trip?,AMPLE: Which vaccines are you referring to?,Question 2
[AO|WHERE] Write a diary entry about a real life incident on your recent trip with your family,Write a diary entry about a real life incident on your recent trip with your family,AO,WHERE,WHAT: WHAT TRIP PLANNING,WHAT IS YOUR BACKGROUND?,Question 1
[AO|WHAT] How do you install a wooden fence?,How do you install a wooden fence?,AO,WHAT,DOCTYPE: WHEN IS THE BEST CLARETION:,NONE,Question 2
[AO|WHOM] Make me a list of cocktails I can order at the bar,Make me a list of cocktails I can order at the bar,AO,WHOM,WHO did you make the list for?,WHOM should be a person,Question 1
[AO|WHAT] Write a brief passage arguing for wearing fanny packs when walking around town.,Write a brief passage arguing for wearing fanny packs when walking around town.,AO,WHAT,### Output: WHEN is better for traveling to the store?,I'll have: Question: What type of fanny pack are you referring to: front pack or back pack?,Question 2
[AO|WHAT] How can I do a figure skating toe loop jump?,How can I do a figure skating toe loop jump?,AO,WHAT,What specific details do you need clarification on? Are you asking about the execution of the technique or the context in which the move can be performed?,"Okay, the user is asking, ""How can I do a figure skating toe loop jump?"" The assistant needs to generate a clarifying question based on the ambiguity type.",Question 1
[AO|WHOM] Give me ideas of ways to add a spicy kick to my pho.,Give me ideas of ways to add a spicy kick to my pho.,AO,WHOM,WHAT DOES DICK HAVE?,WHAT HAS SPICY PAN MAS?,Question 2
[AO|WHOM] How do you decide what type of bicycle to buy?,How do you decide what type of bicycle to buy?,AO,WHOM,bWHOM,When do you plan to purchase a carbon bicycle?,Question 2
[AO|WHERE] How to make an americano ?,How to make an americano ?,AO,WHERE,WHAT is,WHAT is to make an americano?,Question 2
[AO|WHOM] Name some of the top basketball players,Name some of the top basketball players,AO,WHOM,## Clarifying Questions for AO|WHOM: What are the top outputs? Do you want the top what outputs? [outputs] What are the top outputs in what areas?,,Question 1
[AO|WHEN] Write a paragraph on how cricket format has evolved over time,Write a paragraph on how cricket format has evolved over time,AO,WHEN,WHOSE EYES SEEN?,"So answer: ""could you clarify with which time period you're referring to?"" or ""could you specify [when] you mean?"" **Clarifying Question:** [WHEN] Who or what specific time periods are you referring to when discussing the evolution of cricket format over time?",Question 2
[AO|WHAT] How can I be more productive?,How can I be more productive?,AO,WHAT,"I'm going to help you with the suggestions: The question includes: ""What can I be more productive?"" I have limited time. Can you provide something like: ""What can you be more""?",I'm not sure what you mean by that?,Question 2
[AO|WHERE] Give me some ideas on where to travel for good sun and beaches.,Give me some ideas on where to travel for good sun and beaches.,AO,WHERE,WHOWERE: BEACH: SUN?,WHAT ARE THE TOP 10 BEACHES?,Question 1
[AO|WHOM] How do you train for a half marathon?,How do you train for a half marathon?,AO,WHOM,WHAT ARE THE BEST SPORTS?,SELF-CONFIRMING,Question 2
[AO|WHOM] Describe a trip to Tokyo. What should I be prepared for? What should I eat? Any can't-miss attractions?,Describe a trip to Tokyo. What should I be prepared for? What should I eat? Any can't-miss attractions?,AO,WHOM,/analysis =,/drm|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|None|none],Question 2
[AO|WHOM] Tell me 5 best Tom Hanks movies of all time.,Tell me 5 best Tom Hanks movies of all time.,AO,WHOM,WHAT are meant when the query contains unfamiliar entities or facts in text?,WHAT is your favorite character among the following: Tom Hanks?,Question 2
[AO|WHOM] Give me a list of the greatest basketball players of all time.,Give me a list of the greatest basketball players of all time.,AO,WHOM,WHAT TEAM DRIBBLED?,WHAT ARE YOUR TOP three,Question 2
[AO|WHOM] Write a convincing argument about why cats are better than dogs,Write a convincing argument about why cats are better than dogs,AO,WHOM,uo,Let's you clarify exactly whom the assistant is referring to when it claims 'dogs are better than cats'?,Question 2
